Ffurf safonol,Ffurf safonol arall ,Ffurf Saesneg,Cyfeirnod grid,Math (Cymraeg),Math (Saesneg),Awdurdod lleol (Cymraeg),Awdurdod lleol (Saesneg)
Cricieth,,Cricieth,SH5038,Anheddiad,,Gwynedd,Gwynedd
Crindai,,Crindai,ST3189,Anheddiad,,Casnewydd,Newport
Croes Cas-lai,,Haycastle Cross,SM9125,Anheddiad,,Sir Benfro,Pembrokeshire
Croes Cwrlwys,,Culverhouse Cross,ST1275,Anheddiad,,Caerdydd,Cardiff
Croes Llanfair,,Croes Llanfair,SO3307,Anheddiad,,Sir Fynwy,Monmouthshire
Croeserw,,Croeserw,SS8695,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Croes-goch,,Croes-goch,SM8230,Anheddiad,,Sir Benfro,Pembrokeshire
Croes-hywel,,Croes-hywel,SO3314,Anheddiad,,Sir Fynwy,Monmouthshire
Croes-lan,,Croes-lan,SN3844,Anheddiad,,Ceredigion,Ceredigion
Croesor,,Croesor,SH6344,Anheddiad,,Gwynedd,Gwynedd
Croespenmaen,,Croespenmaen,ST1998,Anheddiad,,Caerffili,Caerphilly
Croeswian,,Croeswian,SJ1273,Anheddiad,,Sir y Fflint,Flintshire
Croesyceiliog,,Croesyceiliog,SN4016,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Croesyceiliog,,Croesyceiliog,ST3095,Anheddiad,,Torfaen,Torfaen
Croes-y-llan,,Croes-y-llan,SN1945,Anheddiad,,Ceredigion,Ceredigion
Croesymwyalch,,Croesymwyalch,ST3092,Anheddiad,,Torfaen,Torfaen
Croes-y-pant,,Croes-y-pant,SO3104,Anheddiad,,Sir Fynwy,Monmouthshire
Croes-y-waun,,Croes-y-waun,SH5259,Anheddiad,,Gwynedd,Gwynedd
Crofty,,Crofty,SS5295,Anheddiad,,Abertawe,Swansea
Croesonnen,,Cross Ash,SO4020,Anheddiad,,Sir Fynwy,Monmouthshire
Cross Hands,,Cross Hands,SN0712,Anheddiad,,Sir Benfro,Pembrokeshire
Cross Hands,,Cross Hands,SN5612,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cross Inn,,Cross Inn,SN2912,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cross Inn,,Cross Inn,ST0583,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Cross Lanes,,Cross Lanes,SJ3747,Anheddiad,,Wrecsam,Wrexham
Cross Oak,,Cross Oak,SO1023,Anheddiad,,Powys,Powys
Crosshands,,Crosshands,SN1922,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Crosskeys,,Crosskeys,ST2291,Anheddiad,,Caerffili,Caerphilly
Crosstown,,Crosstown,ST0469,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Crossway,,Crossway,SO4419,Anheddiad,,Sir Fynwy,Monmouthshire
Crossway Green,,Crossway Green,ST5294,Anheddiad,,Sir Fynwy,Monmouthshire
Crossways,,Crossways,SO3220,Anheddiad,,Sir Fynwy,Monmouthshire
Crowther's Pool,,Crowther's Pool,SO2148,Anheddiad,,Powys,Powys
Crucadarn,,Crickadarn,SO0942,Anheddiad,,Powys,Powys
Crucywel,,Crickhowell,SO2118,Anheddiad,,Powys,Powys
Crug,,Crick,ST4890,Anheddiad,,Sir Fynwy,Monmouthshire
Crugion,,Criggion,SJ2915,Anheddiad,,Powys,Powys
Crug-y-bar,,Crug-y-bar,SN6537,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Crumblands,,Crumblands,SO4701,Anheddiad,,Sir Fynwy,Monmouthshire
Crundale,,Crundale,SM9718,Anheddiad,,Sir Benfro,Pembrokeshire
Crwbin,,Crwbin,SN4713,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
"Crwys, Y",,Three Crosses,SS5794,Anheddiad,,Abertawe,Swansea
Crymlyn,,Crumlin,ST2198,Anheddiad,,Caerffili,Caerphilly
Crymlyn Burrows,,Crymlyn Burrows,SS7093,Ardal,,Castell-nedd Port Talbot,Neath Port Talbot
Crymych,,Crymych,SN1833,Anheddiad,,Sir Benfro,Pembrokeshire
Crynwedd,,Crinow,SN1214,Anheddiad,,Sir Benfro,Pembrokeshire
Cuckoos Row,,Cuckoos Row,SO4208,Anheddiad,,Sir Fynwy,Monmouthshire
Cuffern,,Cuffern,SM8921,Anheddiad,,Sir Benfro,Pembrokeshire
Cumber's Bank,,Cumber's Bank,SJ4439,Anheddiad,,Wrecsam,Wrexham
Cupids Hill,,Cupids Hill,SO4025,Anheddiad,,Sir Fynwy,Monmouthshire
Cutiau,,Cutiau,SH6317,Anheddiad,,Gwynedd,Gwynedd
Cuttybridge,,Cuttybridge,SM9319,Anheddiad,,Sir Benfro,Pembrokeshire
"Cwar, Y",,"Quar, The",SO0406,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Cwm,,Cwm,SO1805,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Cwm,,Cwm,SJ0677,Anheddiad,,Sir Ddinbych,Denbighshire
Cwm Bargoed,,Cwm Bargoed,SO0802,Nodwedd tir,,Merthyr Tudful,Merthyr Tydfil
Cwm Belan,,Cwm Belan,SN9481,Anheddiad,,Powys,Powys
Cwm Capel,,Cwm Capel,SN4502,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Cwm Lliedi,,Swiss Valley,SN5202,Nodwedd tir,,Sir Gaerfyrddin,Carmarthenshire
Cwm Penmachno,,Cwm Penmachno,SH7547,Anheddiad,,Conwy,Conwy
Cwmafan,,Cwmafan,SS7892,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Cwmafon,,Cwmafon,SO2706,Anheddiad,,Torfaen,Torfaen
Cwmaman,,Cwmaman,ST0099,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Cwm-ann,,Cwm-ann,SN5846,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwm-bach,,Cwm-bach,SN2525,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwm-bach,,Cwm-bach,SO0201,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Cwm-bach,,Cwm-bach,SO1639,Anheddiad,,Powys,Powys
Cwmbrân,,Cwmbrân,ST2995,Anheddiad,,Torfaen,Torfaen
Cwmbrân Uchaf,,Upper Cwmbrân,ST2796,Anheddiad,,Torfaen,Torfaen
Cwmbrwyno,,Cwmbrwyno,SN7080,Anheddiad,,Ceredigion,Ceredigion
Cwmbwrla,,Cwmbwrla,SS6494,Anheddiad,,Abertawe,Swansea
Cwm-byr,,Cwm-byr,SN6332,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwmcarfan,,Cwmcarfan,SO4707,Anheddiad,,Sir Fynwy,Monmouthshire
Cwm-carn,,Cwm-carn,ST2193,Anheddiad,,Caerffili,Caerphilly
Cwmcarnhywel,,Cwmcarnhywel,SN5300,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Cwmcelyn,,Cwmcelyn,SO2008,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Cwmcerdinen,,Cwmcerdinen,SN6306,Anheddiad,,Abertawe,Swansea
Cwmcewydd,,Cwmcewydd,SH8713,Anheddiad,,Gwynedd,Gwynedd
Cwmclydach,,Clydach Vale,SS9793,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Cwmcorrwg,,Cwmcorrwg,ST1799,Anheddiad,,Caerffili,Caerphilly
Cwm-cou,,Cwm-cou,SN2941,Anheddiad,,Ceredigion,Ceredigion
Cwmcrawnon,,Cwmcrawnon,SO1419,Anheddiad,,Powys,Powys
Cwm-cuch,,Cwm-cuch,SN2736,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwmdâr,,Cwmdare,SN9803,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Cwm-du,,Cwm-du,SS6494,Anheddiad,,Abertawe,Swansea
Cwm-du,,Cwm-du,SN6330,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwmduad,,Cwmduad,SN3731,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwmdulais,,Cwmdulais,SN6103,Anheddiad,,Abertawe,Swansea
Cwmdŵr,,Cwmdŵr,SN7032,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwmdwyfran,,Cwmdwyfran,SN4126,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwmerfyn,,Cwmerfyn,SN6982,Anheddiad,,Ceredigion,Ceredigion
Cwmergyr,,Cwmergyr,SN7982,Ardal,,Ceredigion,Ceredigion
Cwmfelin,,Cwmfelin,SO0900,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Cwmfelin,,Cwmfelin,SS8689,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Cwmfelin-boeth,,Cwmfelin-boeth,SN1919,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwmfelin-fach,,Cwmfelin-fach,ST1891,Anheddiad,,Caerffili,Caerphilly
Cwm-felin-fach,,Cwm-felin-fach,SS6799,Anheddiad,,Abertawe,Swansea
Cwmfelinmynach,,Cwmfelinmynach,SN2224,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwm-ffrwd,,Cwm-ffrwd,SN4216,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwm-ffrwd-oer,,Cwm-ffrwd-oer,SO2601,Anheddiad,,Torfaen,Torfaen
Cwmgelli,,Cwmgelli,ST1798,Anheddiad,,Caerffili,Caerphilly
Cwmgïedd,,Cwmgïedd,SN7811,Anheddiad,,Powys,Powys
Cwm-gors,,Cwm-gors,SN7010,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Cwmgwili,,Cwmgwili,SN5710,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwm-gwrach,,Cwm-gwrach,SN8605,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Cwmheiob,,Cwmheyope,SO2174,Anheddiad,,Powys,Powys
Cwmhiraeth,,Cwmhiraeth,SN3437,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwm-hwnt,,Cwm-hwnt,SN9105,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Cwmifor,,Cwmifor,SN6525,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwm-iou,,Cwmyoy,SO2923,Anheddiad,,Sir Fynwy,Monmouthshire
Cwmisfael,,Cwmisfael,SN4915,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwmllethryd,,Cwmllethryd,SN4911,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwmlline,,Cwmlline,SH8407,Anheddiad,,Powys,Powys
Cwmllynfell,,Cwmllynfell,SN7412,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Cwm-mawr,,Cwm-mawr,SN5312,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwm-miles,,Cwm-miles,SN1622,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwm-morgan,,Cwm-morgan,SN2934,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwm-nant-gam,,Cwm-nant-gam,SO2012,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Cwm-nant-gwynt,,Cwm-nant-gwynt,SO2001,Anheddiad,,Caerffili,Caerphilly
Cwmnantyrodyn,,Cwmnantyrodyn,ST1895,Anheddiad,,Caerffili,Caerphilly
Cwmoernant,,Cwmoernant,SN4121,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Cwmogwr,,Ogmore Vale,SS9390,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Cwm-parc,,Cwm-parc,SS9596,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Cwm-pen-graig,,Cwm-pen-graig,SN3436,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwmpennar,,Cwmpennar,SO0300,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Cwm-rhos,,Cwm-rhos,SO1824,Anheddiad,,Powys,Powys
Cwmrhydyceirw,,Cwmrhydyceirw,SS6799,Anheddiad,,Abertawe,Swansea
Cwmsychbant,,Cwmsychbant,SN4746,Anheddiad,,Ceredigion,Ceredigion
Cwmsyfïog,,Cwmsyfïog,SO1502,Anheddiad,,Caerffili,Caerphilly
Cwmsymlog,,Cwmsymlog,SN7083,Anheddiad,,Ceredigion,Ceredigion
Cwm-twrch Isaf,,Lower Cwm-twrch,SN7610,Anheddiad,,Powys,Powys
Cwm-twrch Uchaf,,Upper Cwm-twrch,SN7511,Anheddiad,,Powys,Powys
Cwmtydu,,Cwmtydu,SN3557,Ardal,,Ceredigion,Ceredigion
Cwmtyleri,,Cwmtillery,SO2105,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Cwmwysg,,Cwmwysg,SN8528,Anheddiad,,Powys,Powys
Cwm-y-glo,,Cwm-y-glo,SH5562,Anheddiad,,Gwynedd,Gwynedd
Cwm-y-glo,,Cwm-y-glo,SN5513,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwm-ynys-cou,,Cwm-ynys-cou,ST2899,Anheddiad,,Torfaen,Torfaen
Cwmyreglwys,,Cwmyreglwys,SN0139,Anheddiad,,Sir Benfro,Pembrokeshire
Cwmystwyth,,Cwmystwyth,SN7874,Anheddiad,,Ceredigion,Ceredigion
Cwnsyllt,,Coleshill,SJ2373,Ardal,,Sir y Fflint,Flintshire
Cwrt,,Cwrt,SH6800,Anheddiad,,Gwynedd,Gwynedd
Cwrtcolman,,Cwrtcolman,SS8881,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Cwrt-henri,,Cwrt-henri,SN5523,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwrtnewydd,,Cwrtnewydd,SN4847,Anheddiad,,Ceredigion,Ceredigion
Cwrt-sart,,Cwrt-sart,SS7495,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Cwrtycadno,,Cwrtycadno,SN6944,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cwrtygollen,,Cwrtygollen,SO2317,Ardal,,Powys,Powys
Cydweli,,Cydweli,SN4006,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cyfarthfa,,Cyfarthfa,SO0407,Ardal,,Merthyr Tudful,Merthyr Tydfil
Cyffordd Llandudno,,Llandudno Junction,SH7978,Anheddiad,,Conwy,Conwy
Cymau,,Cymau,SJ2956,Anheddiad,,Sir y Fflint,Flintshire
Cymdda,,Cymdda,SS9083,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Cymer,,Cymer,SS8696,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
"Cymer, Y",,"Cymer, Y",ST0290,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Cymin,,Cymin,SO5212,Anheddiad,,Sir Fynwy,Monmouthshire
Cyncoed,,Cyncoed,SO4305,Anheddiad,,Sir Fynwy,Monmouthshire
Cyncoed,,Cyncoed,ST1880,Anheddiad,,Caerdydd,Cardiff
Cynffig,,Kenfig,SS8081,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Cynghordy,,Cynghordy,SN8040,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cynheidre,,Cynheidre,SN4907,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cynonville,,Cynonville,SS8295,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Cyntwell,,Cyntwell,ST1275,Anheddiad,,Caerdydd,Cardiff
Cynwyd,,Cynwyd,SJ0541,Anheddiad,,Sir Ddinbych,Denbighshire
Cynwyl Elfed,,Cynwyl Elfed,SN3727,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Cywarch,,Cywarch,SH8518,Ardal,,Gwynedd,Gwynedd
"Dafarn Newydd, Y",,New Inn,ST3099,Anheddiad,,Torfaen,Torfaen
Dafen,,Dafen,SN5201,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Dale,,Dale,SM8005,Anheddiad,,Sir Benfro,Pembrokeshire
Danrhelyg,,Danrhelyg,SN2939,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Dan-y-graig,,Dan-y-graig,SS6793,Anheddiad,,Abertawe,Swansea
Dan-y-graig,,Dan-y-graig,ST2390,Anheddiad,,Caerffili,Caerphilly
Dardy,,Dardy,SO2018,Anheddiad,,Powys,Powys
Darland,,Darland,SJ3757,Anheddiad,,Wrecsam,Wrexham
Darowen,,Darowen,SH8201,Anheddiad,,Powys,Powys
Darran-las,,Darran-las,ST0498,Ardal,,Rhondda Cynon Taf,Rhondda Cynon Taf
Darrenfelen,,Darrenfelen,SO2112,Anheddiad,,Sir Fynwy,Monmouthshire
Dawn,,Dawn,SH8672,Anheddiad,,Conwy,Conwy
Ddôl,,Ddôl,SJ1471,Anheddiad,,Sir y Fflint,Flintshire
Ddôl,,Ddôl,SJ3149,Anheddiad,,Wrecsam,Wrexham
"Ddraenen, Y",,Thornhill,ST1584,Anheddiad,,Caerdydd,Cardiff
"Ddraenen-wen, Y",,Hawthorn,ST0988,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Deepweir,,Deepweir,ST4887,Anheddiad,,Sir Fynwy,Monmouthshire
Deerland,,Deerland,SM9810,Anheddiad,,Sir Benfro,Pembrokeshire
Defynnog,,Defynnog,SN9227,Anheddiad,,Powys,Powys
Deganwy,,Deganwy,SH7779,Anheddiad,,Conwy,Conwy
Deiniolen,,Deiniolen,SH5763,Anheddiad,,Gwynedd,Gwynedd
Deri,,Deri,SO1201,Anheddiad,,Caerffili,Caerphilly
Derwen,,Derwen,SJ0650,Anheddiad,,Sir Ddinbych,Denbighshire
Derwen,,Derwen,SS9182,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Derwen-fawr,,Broad Oak,SN5722,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Derwen-fawr,,Derwen-fawr,SS6191,Ardal,,Abertawe,Swansea
Derwen-gam,,Oakford,SN4558,Anheddiad,,Ceredigion,Ceredigion
Derwen-las,,Derwen-las,SN7299,Anheddiad,,Powys,Powys
Derwydd,,Derwydd,SN6117,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Devauden,,Devauden,ST4898,Anheddiad,,Sir Fynwy,Monmouthshire
Dihewyd,,Dihewyd,SN4855,Anheddiad,,Ceredigion,Ceredigion
Dimlands,,Dimlands,SS9568,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Dinas,,Dinas,SH2636,Anheddiad,,Gwynedd,Gwynedd
Dinas,,Dinas,SH4858,Anheddiad,,Gwynedd,Gwynedd
Dinas,,Dinas,SN2730,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Dinas,,Dinas,ST0191,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Dinas Dinlle,,Dinas Dinlle,SH4356,Anheddiad,,Gwynedd,Gwynedd
Dinas Mawddwy,,Dinas Mawddwy,SH8514,Anheddiad,,Gwynedd,Gwynedd
Dinas Powys,,Dinas Powys,ST1571,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Dinbych,,Denbigh,SJ0566,Anheddiad,,Sir Ddinbych,Denbighshire
Dinbych-y-pysgod,,Tenby,SN1300,Anheddiad,,Sir Benfro,Pembrokeshire
Din Llugwy,,Din Llugwy,SH4986,Nodwedd o waith dyn,,Ynys Môn,Isle of Anglesey
Dinmael,,Dinmael,SJ0044,Anheddiad,,Conwy,Conwy
Dinorwig,,Dinorwig,SH5961,Anheddiad,,Gwynedd,Gwynedd
Diserth,,Diserth,SO0358,Anheddiad,,Powys,Powys
Llandydiwg,,Dixton,SO5113,,,Sir Fynwy,Monmouthshire
Dobshill,,Dobshill,SJ3063,Anheddiad,,Sir y Fflint,Flintshire
Doc Penfro,,Pembroke Dock,SM9603,Anheddiad,,Sir Benfro,Pembrokeshire
Doc y Barri,,Barry Dock,ST1268,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Dolanog,,Dolanog,SJ0612,Anheddiad,,Powys,Powys
Dolau,,Dolau,SO1467,Anheddiad,,Powys,Powys
Dolbenmaen,,Dolbenmaen,SH5043,Anheddiad,,Gwynedd,Gwynedd
Doldowlod,,Doldowlod,SN9763,Anheddiad,,Powys,Powys
Dole,,Dole,SN6386,Anheddiad,,Ceredigion,Ceredigion
Dolfor,,Dolfor,SO1087,Anheddiad,,Powys,Powys
Dolgadfan,,Dolgadfan,SH8800,Ardal,,Powys,Powys
Dolgarrog,,Dolgarrog,SH7767,Anheddiad,,Conwy,Conwy
Dolgellau,,Dolgellau,SH7217,Anheddiad,,Gwynedd,Gwynedd
Dôl-goch,,Dôl-goch,SH6504,Anheddiad,,Gwynedd,Gwynedd
Dolgrân,,Dolgrân,SN4334,,,Sir Gaerfyrddin,Carmarthenshire
Dolhendre,,Dolhendre,SH8531,Ardal,,Gwynedd,Gwynedd
Dolley Green,,Dolley Green,SO2865,Anheddiad,,Powys,Powys
Dolphin,,Dolphin,SJ1973,Anheddiad,,Sir y Fflint,Flintshire
Dolwyddelan,,Dolwyddelan,SH7352,Anheddiad,,Conwy,Conwy
Dôl-y-bont,,Dôl-y-bont,SN6288,Anheddiad,,Ceredigion,Ceredigion
Dôl-y-cae,,Dôl-y-cae,SH7211,Ardal,,Gwynedd,Gwynedd
Dolycannau,,Dolycannau,SO2049,Anheddiad,,Powys,Powys
Dolydd,,Dolydd,SH4757,Anheddiad,,Gwynedd,Gwynedd
Dolyronnen,,Dolyronnen,SH8300,Anheddiad,,Powys,Powys
Dôl-y-wern,,Dôl-y-wern,SJ2237,Anheddiad,,Wrecsam,Wrexham
Domgae,,Domgae,SJ2819,Anheddiad,,Powys,Powys
Dothan,,Dothan,SH3774,Anheddiad,,Ynys Môn,Isle of Anglesey
Dowlais,,Dowlais,SO0608,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Dowlais Top,,Dowlais Top,SO0708,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Downs,,Downs,ST1074,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Draethen,,Draethen,ST2287,Anheddiad,,Caerffili,Caerphilly
Dreenhill,,Dreenhill,SM9214,Anheddiad,,Sir Benfro,Pembrokeshire
Dre-fach,,Dre-fach,SN2920,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Dre-fach,,Dre-fach,SN5045,Anheddiad,,Ceredigion,Ceredigion
Dre-fach,,Dre-fach,SN5213,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Dre-fach,,Dre-fach,SN6516,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Dre-fach Felindre,,Dre-fach Felindre,SN3538,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Drefelin,,Drefelin,SN3638,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
"Drenewydd, Y",,Bute Town,SO1009,Anheddiad,,Caerffili,Caerphilly
"Drenewydd, Y",,Newtown,SO1091,Anheddiad,,Powys,Powys
Drenewydd Gelli-farch,,Shirenewton,ST4793,Anheddiad,,Sir Fynwy,Monmouthshire
Druidston,,Druidston,SM8616,Anheddiad,,Sir Benfro,Pembrokeshire
Drury,,Drury,SJ2964,Anheddiad,,Sir y Fflint,Flintshire
Drury Lane,,Drury Lane,SJ4642,Anheddiad,,Wrecsam,Wrexham
Drws-y-coed,,Drws-y-coed,SH5453,Ardal,,Gwynedd,Gwynedd
Dryslwyn,,Dryslwyn,SN5520,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Dulas,,Dulas,SH4687,Anheddiad,,Ynys Môn,Isle of Anglesey
Dutlas,,Dutlas,SO2177,Anheddiad,,Powys,Powys
Dŵr Cwmwdig,,Cwmwdig Water,SM8030,Anheddiad,,Sir Benfro,Pembrokeshire
Dwygyfylchi,,Dwygyfylchi,SH7377,Anheddiad,,Conwy,Conwy
Dwyrain Aberddawan,,East Aberthaw,ST0366,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Dwyran,,Dwyran,SH4465,Anheddiad,,Ynys Môn,Isle of Anglesey
Dyffryn,,Dyffryn,ST0971,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Dyffryn,,Dyffryn,SS8395,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Dyffryn,,Dyffryn,ST2985,Anheddiad,,Casnewydd,Newport
Dyffryn,,Dyffryn,SM9437,Anheddiad,,Sir Benfro,Pembrokeshire
Dyffryn,,Dyffryn,SO0603,Ardal,,Merthyr Tudful,Merthyr Tydfil
Dyffryn,,Dyffryn,SS851937,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Dyffryn Ardudwy,,Dyffryn Ardudwy,SH5823,Anheddiad,,Gwynedd,Gwynedd
Dyffryn Cellwen,,Dyffryn Cellwen,SN8510,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Dyffryn Clydach,,Dyffryn Clydach,SS7299,Cymuned,,Castell-nedd Port Talbot,Neath Port Talbot
Dyffryn Henllys,,Henllys Vale,ST2792,Anheddiad,,Torfaen,Torfaen
Dyfnant,Dynfant,Dunvant,SS5993,Anheddiad,,Abertawe,Swansea
Dylife,,Dylife,SN8694,Anheddiad,,Powys,Powys
Dyserth,,Dyserth,SJ0579,Anheddiad,,Sir Ddinbych,Denbighshire
East Bank,,East Bank,SO2206,Anheddiad,,Blaenau Gwent,Blaenau Gwent
East Moors,,East Moors,ST2075,Anheddiad,,Caerdydd,Cardiff
East Village,,East Village,SS9974,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
East Williamston,,East Williamston,SN0904,Anheddiad,,Sir Benfro,Pembrokeshire
Eastbrook,,Eastbrook,ST1571,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Edern,,Edern,SH2739,Anheddiad,,Gwynedd,Gwynedd
Edmondstown,,Edmondstown,ST0090,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Edwardsville,,Edwardsville,ST0896,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Efail-fach,,Efail-fach,SS7895,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Efail-fach,,Efail-fach,ST0884,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Efailisaf,,Efailisaf,ST0884,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Efailnewydd,,Efailnewydd,SH3535,Anheddiad,,Gwynedd,Gwynedd
Efail-rhyd,,Efail-rhyd,SJ1626,Anheddiad,,Powys,Powys
Efail-wen,,Efail-wen,SN1325,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Efenechdyd,,Efenechdyd,SJ1155,Anheddiad,,Sir Ddinbych,Denbighshire
Eglwys Brewys,,Eglwys Brewys,ST0069,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Eglwys Cross,,Eglwys Cross,SJ4740,Anheddiad,,Wrecsam,Wrexham
Eglwys Fair y Mynydd,,St Mary Hill,SS9678,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
"Eglwys Lwyd, Yr",,Ludchurch,SN1410,Anheddiad,,Sir Benfro,Pembrokeshire
Eglwys Newydd,,Newchurch,SO1610,Anheddiad,,Blaenau Gwent,Blaenau Gwent
"Eglwys Newydd, Yr",,Whitchurch,ST1479,Anheddiad,,Caerdydd,Cardiff
"Eglwys Newydd ar y Cefn, Yr",,Newchurch,ST4597,Anheddiad,,Sir Fynwy,Monmouthshire
Eglwys Nynnid,,Eglwys Nynnid,SS8084,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Eglwys Wen,,Eglwys Wen,SN1535,Anheddiad,,Sir Benfro,Pembrokeshire
Eglwys Wythwr,,Monington,SN1343,Anheddiad,,Sir Benfro,Pembrokeshire
